state,county,tract,pop_tot,num_hh_tot,num_hh_1p,num_hh_2p,num_hh_3p,num_hh_4p,num_hh_5p,num_hh_6p,num_hh_7plus,geoid,usps,aland,awater,aland_sqmi,awater_sqmi,intptlat,intptlong
42,003,261500,1744,769,328,252,55,65,11,58,0,42003261500,PA,1135928,0,0.439,0.0,40.4709542,-80.0163501
42,003,191600,4180,1879,684,586,247,321,9,32,0,42003191600,PA,2422506,0,0.935,0.0,40.4173057,-80.0232037
42,003,140300,3431,1486,471,520,241,175,53,0,26,42003140300,PA,941940,0,0.364,0.0,40.4414481,-79.9195738
42,003,470300,4026,1754,670,586,263,183,47,5,0,42003470300,PA,3454506,0,1.334,0.0,40.3815681,-80.082272
42,003,090300,1631,896,411,324,132,9,10,10,0,42003090300,PA,256777,0,0.099,0.0,40.4643545,-79.9529421
42,003,130300,1230,694,421,144,72,0,57,0,0,42003130300,PA,546310,0,0.211,0.0,40.4546279,-79.8968331
42,003,180300,2073,837,298,234,124,142,0,20,19,42003180300,PA,769308,0,0.297,0.0,40.4229724,-79.9937713
42,003,191400,2484,1373,595,564,171,17,0,26,0,42003191400,PA,948672,0,0.366,0.0,40.4273002,-80.0111261
42,003,191800,5141,2334,834,721,473,145,76,85,0,42003191800,PA,1457192,0,0.563,0.0,40.3889159,-80.0163062
42,003,202200,3102,1234,298,362,382,113,6,73,0,42003202200,PA,886977,0,0.342,0.0,40.4541161,-80.0636016
42,003,271500,3234,1132,378,249,251,67,143,6,38,42003271500,PA,1393802,0,0.538,0.0,40.473021,-80.0282218
42,003,290100,2007,888,317,278,152,108,18,10,5,42003290100,PA,1266738,0,0.489,0.0,40.3990744,-79.9931756
42,003,290400,4204,1799,565,649,238,243,104,0,0,42003290400,PA,1603888,0,0.619,0.0,40.3876561,-79.9824652
42,003,300100,3863,1468,508,454,197,61,101,92,55,42003300100,PA,775644,0,0.299,0.0,40.4135548,-79.9930075
42,003,401200,2883,1309,572,339,166,140,58,24,10,42003401200,PA,2618660,346621,1.011,0.134,40.6195962,-79.7227484
42,003,401300,2745,1114,217,489,206,148,54,0,0,42003401300,PA,3338658,0,1.289,0.0,40.6215248,-79.7388855
42,003,414102,7351,3067,953,844,755,330,109,45,31,42003414102,PA,18148636,6827,7.007,0.003,40.5920412,-79.9680618
42,003,415002,2673,1013,216,380,134,218,51,14,0,42003415002,PA,13018315,0,5.026,0.0,40.5535623,-79.9007051
42,003,418000,1697,820,276,375,82,43,44,0,0,42003418000,PA,1198394,223556,0.463,0.086,40.5430237,-79.8009841
42,003,423000,2724,1202,424,350,187,170,71,0,0,42003423000,PA,907016,88873,0.35,0.034,40.4927887,-79.9030596
42,003,425000,3350,1486,598,392,180,235,38,10,33,42003425000,PA,1891708,165715,0.73,0.064,40.4951604,-79.9496303
42,003,426400,4061,1970,723,716,311,173,35,12,0,42003426400,PA,3504076,0,1.353,0.0,40.5219352,-79.9598899
42,003,428100,1194,515,132,183,146,17,37,0,0,42003428100,PA,919959,0,0.355,0.0,40.4739233,-79.9808538
42,003,429100,2618,1174,490,313,191,103,63,0,14,42003429100,PA,5843382,0,2.256,0.0,40.5062526,-80.0077216
42,003,429202,4415,1799,434,709,297,178,147,21,13,42003429202,PA,4349366,0,1.679,0.0,40.5243539,-79.9952455
42,003,431500,3224,1868,1080,463,209,84,32,0,0,42003431500,PA,1001061,294922,0.387,0.114,40.4935545,-80.0581795
42,003,450800,2515,1261,504,459,168,84,27,19,0,42003450800,PA,1367970,299719,0.528,0.116,40.5191654,-80.1672689
42,003,459202,720,489,321,134,16,12,6,0,0,42003459202,PA,195585,0,0.076,0.0,40.4282449,-80.1010931
42,003,463900,2657,1320,654,362,123,95,33,53,0,42003463900,PA,1008815,0,0.39,0.0,40.4662676,-80.0727908
42,003,468700,1524,740,290,257,122,40,19,11,1,42003468700,PA,1408601,0,0.544,0.0,40.4137853,-80.0887817
42,003,030500,2109,1145,607,358,106,52,0,0,22,42003030500,PA,663825,0,0.256,0.0,40.4427244,-79.9838331
42,003,451104,3858,1331,157,547,230,217,133,16,31,42003451104,PA,7678359,0,2.965,0.0,40.5375778,-80.2537863
42,003,451105,4920,2228,839,613,394,297,41,23,21,42003451105,PA,9610732,0,3.711,0.0,40.5143067,-80.2353817
42,003,453003,1920,793,177,316,158,95,38,4,5,42003453003,PA,15564358,0,6.009,0.0,40.4258001,-80.1918627
42,003,453004,6708,3192,1228,1222,248,248,246,0,0,42003453004,PA,7417175,0,2.864,0.0,40.4486959,-80.2028945
42,003,470501,3858,2012,894,539,387,141,51,0,0,42003470501,PA,1128817,0,0.436,0.0,40.3976159,-80.0594447
42,003,470502,2975,1258,327,489,311,115,7,9,0,42003470502,PA,1863592,0,0.72,0.0,40.4036375,-80.0685025
42,003,561900,2467,974,410,276,121,58,85,24,0,42003561900,PA,1080828,0,0.417,0.0,40.4693587,-79.893087
42,003,515401,2212,1124,488,436,97,27,23,33,20,42003515401,PA,607993,0,0.235,0.0,40.4228478,-79.8961568
42,003,474201,2535,934,204,260,172,198,95,0,5,42003474201,PA,3322962,0,1.283,0.0,40.3446322,-80.0962059
42,003,474202,4966,1922,448,646,261,455,94,18,0,42003474202,PA,8875894,0,3.427,0.0,40.3253363,-80.0953084
42,003,480300,3428,1345,358,420,288,170,37,39,33,42003480300,PA,2846639,275717,1.099,0.106,40.3958876,-79.9626814
42,003,484600,2005,1049,529,330,104,47,16,0,23,42003484600,PA,1213238,0,0.468,0.0,40.3922751,-79.9006963
42,003,486700,2362,1094,387,441,133,54,55,0,24,42003486700,PA,2492427,248729,0.962,0.096,40.3779317,-79.8588904
42,003,486900,1593,535,188,134,41,44,68,41,19,42003486900,PA,935318,40755,0.361,0.016,40.363937,-79.8481653
42,003,488400,4616,2132,726,853,326,82,83,62,0,42003488400,PA,3725297,253628,1.438,0.098,40.3631352,-79.8663581
42,003,488500,2817,1301,403,557,147,139,45,10,0,42003488500,PA,9602999,0,3.708,0.0,40.3588588,-79.9339807
42,003,504100,4758,2337,1086,525,476,171,63,16,0,42003504100,PA,8719828,428835,3.367,0.166,40.3835414,-79.8304402
42,003,510000,1576,800,343,308,70,38,35,6,0,42003510000,PA,1004195,0,0.388,0.0,40.3968776,-79.8381817
42,003,270300,2223,897,413,198,125,60,52,0,49,42003270300,PA,593102,0,0.229,0.0,40.4778507,-80.0367571
42,003,320600,2185,998,345,338,145,136,34,0,0,42003320600,PA,1479651,0,0.571,0.0,40.3946674,-80.0050642
42,003,406000,2329,1013,231,470,159,122,15,16,0,42003406000,PA,33530715,0,12.946,0.0,40.6499712,-79.7673626
42,003,408001,5540,2051,545,714,302,238,191,44,17,42003408001,PA,26224959,0,10.126,0.0,40.6528011,-79.9592726
42,003,408002,5908,2170,392,787,360,408,180,0,43,42003408002,PA,11667041,0,4.505,0.0,40.6241285,-79.9549835
42,003,140800,4487,1941,651,674,233,218,96,69,0,42003140800,PA,1089074,0,0.42,0.0,40.4332748,-79.9166016
42,003,110600,2390,1113,403,353,223,98,10,18,8,42003110600,PA,637590,0,0.246,0.0,40.4726916,-79.9155986
42,003,111400,1469,627,276,147,88,65,6,37,8,42003111400,PA,327621,0,0.126,0.0,40.4670104,-79.9318421
42,003,130100,1702,779,372,200,73,70,28,0,36,42003130100,PA,772139,0,0.298,0.0,40.4592508,-79.8886884
42,003,141000,953,434,144,161,55,66,0,5,3,42003141000,PA,507879,0,0.196,0.0,40.4328897,-79.8976171
42,003,424000,3358,1645,749,481,245,74,31,55,10,42003424000,PA,1396351,575883,0.539,0.222,40.4932427,-79.9215474
42,003,429500,3823,2211,1087,775,251,78,11,9,0,42003429500,PA,4117962,0,1.59,0.0,40.5369199,-80.0180904
42,003,446000,1586,602,105,235,105,96,43,18,0,42003446000,PA,3875478,455161,1.496,0.176,40.5544208,-80.192335
42,003,080200,1725,935,381,425,94,6,22,0,7,42003080200,PA,344564,0,0.133,0.0,40.4599658,-79.9513352
42,003,191700,3416,1568,571,518,267,139,49,9,15,42003191700,PA,1865135,0,0.72,0.0,40.4038098,-80.0124374
42,003,111300,3013,1434,657,418,205,123,20,11,0,42003111300,PA,540629,0,0.209,0.0,40.4690103,-79.9245448
42,003,050100,1745,934,458,287,156,32,0,1,0,42003050100,PA,790373,0,0.305,0.0,40.4477128,-79.9728906
42,003,499300,1746,780,273,235,143,61,68,0,0,42003499300,PA,2059494,324290,0.795,0.125,40.3371209,-79.8855421
42,003,250700,601,268,126,59,46,9,28,0,0,42003250700,PA,560129,0,0.216,0.0,40.4599411,-80.021863
42,003,427200,4799,2301,771,954,301,186,89,0,0,42003427200,PA,4786086,245409,1.848,0.095,40.4948391,-79.9653741
42,003,428200,2072,916,292,319,161,87,43,14,0,42003428200,PA,4423317,0,1.708,0.0,40.4874227,-79.990474
42,003,429201,4496,1884,564,764,209,237,90,0,20,42003429201,PA,4690072,0,1.811,0.0,40.5447177,-80.0036671
42,003,430100,2115,901,299,234,159,198,11,0,0,42003430100,PA,854749,0,0.33,0.0,40.5145873,-80.0247494
42,003,431100,3068,1751,893,611,108,139,0,0,0,42003431100,PA,924163,0,0.357,0.0,40.4901465,-80.0506435
42,003,439000,1463,527,79,221,102,67,40,8,10,42003439000,PA,13899920,0,5.367,0.0,40.5897681,-80.1737989
42,003,465800,3168,1491,558,588,134,107,61,24,19,42003465800,PA,1951522,0,0.753,0.0,40.430648,-80.0724869
42,003,471000,1271,638,278,210,75,44,27,4,0,42003471000,PA,733882,0,0.283,0.0,40.3914673,-80.0922067
42,003,472300,2003,976,364,341,175,72,20,4,0,42003472300,PA,342247,0,0.132,0.0,40.3925483,-80.0330037
42,003,472400,1828,778,200,319,129,68,49,13,0,42003472400,PA,425318,0,0.164,0.0,40.3878532,-80.0380679
42,003,476200,3079,1423,439,618,141,183,37,5,0,42003476200,PA,1717181,0,0.663,0.0,40.3647701,-80.0145161
42,003,477200,4064,1844,676,679,205,220,33,31,0,42003477200,PA,2900320,0,1.12,0.0,40.3658198,-79.9933233
42,003,478100,3985,1827,688,609,260,150,69,41,10,42003478100,PA,1513471,0,0.584,0.0,40.373004,-79.9812588
42,003,503002,5898,2735,898,1208,315,177,96,0,41,42003503002,PA,5384574,0,2.079,0.0,40.3477481,-79.8154254
42,003,489002,3480,1504,382,649,210,197,30,36,0,42003489002,PA,3465624,0,1.338,0.0,40.3301626,-79.9692447
42,003,490002,4827,2177,726,754,353,268,60,16,0,42003490002,PA,8162676,0,3.152,0.0,40.2966161,-80.0107727
42,003,564400,5874,2684,853,1031,437,284,34,28,17,42003564400,PA,13689708,0,5.286,0.0,40.37647,-79.7912956
42,003,564500,2862,1188,332,412,187,158,72,27,0,42003564500,PA,16335678,596785,6.307,0.23,40.2711094,-79.9193252
42,003,980000,0,0,0,0,0,0,0,0,0,42003980000,PA,637325,237263,0.246,0.092,40.4875663,-79.8908303
42,003,980100,0,0,0,0,0,0,0,0,0,42003980100,PA,1473395,253872,0.569,0.098,40.4798795,-79.9165548
42,003,980300,0,0,0,0,0,0,0,0,0,42003980300,PA,1294126,0,0.5,0.0,40.4325503,-79.9057229
42,003,980600,13,8,4,4,0,0,0,0,0,42003980600,PA,983081,473793,0.38,0.183,40.4515634,-80.0280024
42,003,980400,0,0,0,0,0,0,0,0,0,42003980400,PA,1106930,0,0.427,0.0,40.4819378,-80.0200164
42,003,980500,16,16,16,0,0,0,0,0,0,42003980500,PA,1611782,8798,0.622,0.003,40.4327243,-79.9436647
